song,artist,url,lyrics
Conselho,Grupo Revelação,/revelacao/554917/,"Deixe de lado esse baixo astral
Erga a cabeça, enfrente o mal
Que agindo assim será vital
Para o seu coração

É que em cada experiência
Se aprende uma lição
Eu já sofri por amar assim
Me dediquei, mas foi tudo em vão

Pra que se lamentar
Se em sua vida pode encontrar
Quem te ame com toda força e amor?
Assim, sucumbirá a dor

Tem que lutar, não se abater
Só se entregar a quem te merecer
Não estou dando e nem vendendo
Como o ditado diz
O meu conselho é pra te ver feliz

Tem que lutar, não se abater
Só se entregar a quem te merecer
Não estou dando e nem vendendo
Como o ditado diz
O meu conselho é pra te ver feliz

Deixe de lado esse baixo astral
Erga a cabeça, enfrente o mal
Que agindo assim será vital
Para o seu coração

É que em cada experiência
Se aprende uma lição
Eu já sofri por amar assim
Me dediquei, mas foi tudo em vão

Pra que se lamentar
Se em sua vida pode encontrar
Quem te ame com toda força e amor?
Assim, sucumbirá a dor

Tem que lutar, não se abater
Só se entregar a quem te merecer
Não estou dando e nem vendendo
Como o ditado diz
O meu conselho é pra te ver feliz

Tem que lutar, não se abater
Só se entregar a quem te merecer
Não estou dando e nem vendendo
Como o ditado diz
O meu conselho é pra te ver feliz"
P do Pecado (part. Simone Mendes),Grupo Menos É Mais,/grupo-menos-e-mais/eu-sou-apenas-o-p-do-pecado-part-simone-mendes/,"Uma ligação fria
Com um convite quente
Você é uma comprometida que me liga
E eu sou o solteiro que atende
Depois que o suor seca no chão
É fácil me chamar de tentação

Como se eu fosse o culpado
Do que cê faz com o seu namorado
Como se eu que tivesse alguém
Mas, diferente de você, meu beijo não tá enganando ninguém

Jogando erro contra erro
O seu é bem maior que o meu
Da vida, cê não tira ele
Da cama, cê não tira eu
Não joga a culpa toda pro meu lado
É você que tem alguém do lado
Eu sou apenas o P do pecado
Eu sou apenas o P do pecado

Jogando erro contra erro
O seu é bem maior que o meu
Da vida, cê não tira ele
Da cama, cê não tira eu
Não joga a culpa toda pro meu lado
É você que tem alguém do lado
Eu sou apenas o P do pecado
Eu sou apenas o P do pecado

Como se eu fosse a culpada
Do que cê faz com sua namorada
Como se eu que tivesse alguém
Mas, diferente de você, meu beijo não tá enganando ninguém

Jogando erro contra erro
O seu é bem maior que o meu
Da vida, cê não tira ela
Da cama, cê não tira eu
Não joga a culpa toda pro meu lado
É você que tem alguém do lado
Eu sou apenas o P do pecado
Eu sou apenas o P do pecado

Jogando erro contra erro
O seu é bem maior que o meu
Da vida, cê não tira ela
Da cama, cê não tira eu
Não joga a culpa toda pro meu lado
É você que tem alguém do lado
Eu sou apenas o P do pecado
Eu sou apenas o P do pecado

Jogando erro contra erro
O seu é bem maior que o meu
Da vida, cê não tira ela
Da cama, cê não tira eu
Não joga a culpa toda pro meu lado
É você que tem alguém do lado
Eu sou apenas o P do pecado
Eu sou apenas o P do pecado

P do pecado"
Pela Última Vez (part. NATTAN),Grupo Menos É Mais,/grupo-menos-e-mais/pela-ultima-vez-part-nattan/,"(Meu cumpadi, pode tudo dar certo)
(Mas, do nada, pode dar tudo errado)
(Quer vê, ô)

Um, dois, três
Áudios que eu mandei, ela visualizou
Nessa hora pensei, ela vai responder
Amor, te perdoei

Mas ela me xingou, oh
Disse que acabou, oh
Coração no desespero
Só pedi um último favor

(NATTAN!)

Pela última vez
Vem dar beijão de língua na minha boca, ah
Vem me encontrar de pouca roupa, ah
Faz aquele amor de outro planeta
Depois cê me bloqueia

Pela última vez
Vem dar beijão de língua na minha boca, ah
Vem me encontrar de pouca roupa, ah
Faz aquele amor de outro planeta
Depois cê me bloqueia
Pela última vez

(Ah, meu cumpadi!)
É o Nattanzinho falando de amor
(Esqueça tudo)
(Menos É Mais e Nattanzinho em Salvador)
(Solta a voz, solta voz, vai!)

Um, dois, três
Áudios que eu mandei, ela visualizou
Na hora pensei, ela vai responder
Amor, te perdoei

Mas ela me xingou, oh
Disse que acabou, oh
Coração no desespero
Só pedi um último favor (Salvador!)

Pela última vez
Vem dar beijão de língua na minha boca, ah
Vem me encontrar de pouca roupa
Faz aquele amor de outro planeta
Depois cê me bloqueia

Pela última vez
Vem dar beijão de língua na minha boca, ah
Vem me encontrar de pouca roupa, ah
Faz aquele amor de outro planeta
Depois cê me bloqueia

Pela última vez
Vem dar beijão de língua na minha boca, ah
Vem me encontrar de pouca roupa
Faz aquele amor de outro planeta
Depois cê me bloqueia

Pela última vez
Vem dar beijão de língua na minha boca, ah
Vem me encontrar de pouca roupa, ah
Faz aquele amor de outro planeta
Depois cê me bloqueia
Pela última vez

Menos É Mais falando de amor
(Ah, meu cumpadi!)
(Menos É Mais, NATTAN!)
(Salvador, faz barulho!)

Pela última vez"
Cuando Se Acaba El Placer,Alexandre Pires,/alexandre-pires/659722/,"Hoy hago el amor con otra persona
(Pero el corazón)
Por siempre tuyo es
Mi cuerpo se da y el alma perdona
(Tanta soledad)
Va a hacerme enloquecer

Contaré que es amor
Juraré que es pasión
Y diré lo que siento
Con todo cariño y en ti pensaré
Dejaré el corazón
Seré todo emoción
La verdad es que miento
Que vivo pensando si te olvidaré
Cuando al final acabó
La ilusión que inventé
Y se va la emoción
Yo quisiera también, ver el tiempo correr
Ya no sé quién me amó
¿Qué habré dicho? No sé
Y es entonces que entiendo
Se mide el amor, cuando acaba el placer

Sigues dentro de mi pecho
Y vivo recordando
Cuando pienso en ti
Yo siento que te estoy amando

Y cuando llega el deseo
Es tu nombre el que llamo
Puede que no seas tú
Pero es a ti a quien amo

Contaré que es amor
Juraré que es pasión
Y diré lo que siento
Con todo cariño y en ti pensaré
Dejaré el corazón
Seré todo emoción
La verdad es que miento
Que vivo pensando si te olvidaré
Cuando al final acabó
La ilusión que inventé
Y se va la emoción
Yo quisiera también, ver el tiempo correr
Ya no sé quién me amó
¿Qué habré dicho? No sé
Y es entonces que entiendo
Se mide el amor, cuando acaba el placer

(Sigues dentro de mi pecho)
(Y vivo recordando)
Cuando pienso en ti
Yo siento que te estoy amando

(Y cuando llega el deseo)
(Es tu nombre el que llamo)
¡Es tu nombre que llamo!
Puede que no seas tú
Pero es a ti a quien amo, a ti a quien amo

(Sigues dentro de mi pecho)
(Y vivo recordando)
¡Recordando!
Cuando pienso en ti
Yo siento que te estoy amando, te estoy amando

(Y cuando llega el deseo)
(Es tu nombre el que llamo)
¡Es tu nombre que llamo!
Puede que no seas tú
Pero es a ti a quien amo"
Ave Maria de Schubert,Péricles,/pericles/ave-maria-de-schubert/,"Ave Maria
Gratia plena
Maria, gratia plena
Maria, gratia plena
Ave, ave Dominus

Dominus tecum
Benedicta tu in mulieribus
Et benedictus
Benedictus fructus fructus ventris
Ventris tui, Jesus
Ave Maria

Sancta Maria
Mater Dei
Ora pro nobis peccatoribus
Ora, ora pro nobis
Ora, ora pro nobis, peccatoribus

Nunc et in hora mortis
In hora mortis nostrae
In hora mortis mortis nostrae
In hora mortis nostrae
Ave Maria"
Amame,Alexandre Pires,/alexandre-pires/80895/,"Ven a mi, dulce amor
Ayúdame a cambiar este destino
Sálvame, por favor
Que tengo el corazón partido en dos

Dame más, quiero más
De esa bendita forma en que me miras
Sólo tú, sólo yo
Caricias que me roben la razón

Ámame, acércate y ámame
Regálame de a poco tu calor
Atrévete a mi amor
No tengas miedo y sólo
Ámame, ahora y siempre ámame
Que el mundo se inventó para los dos
No tiene la pasión de explicación

Junto a ti, seducción
Enciendes uno a uno mis sentidos
Quédate con mi amor
Envuélveme en tus brazos sin temor

Viviré siempre así
Enamorado digan lo que digan
Y seré para ti
Porque tú eres una en un millón

Ámame, acércate y ámame
Regálame de a poco tu calor
Atrévete a mi amor
No tengas miedo y sólo
Ámame, ahora y siempre ámame
Que el mundo se inventó para los dos
No tiene la pasión de explicación

Ámame"
Coração Partido (Corazón Partío),Grupo Menos É Mais,/grupo-menos-e-mais/coracao-partido/,"Eu tentei ficar com você
Eu lutei, insisti, persisti, mas você só brincou
Sempre me levou na brincadeira e preferiu a vida de solteira
Vida de balada, vida de revoada
Agora vem se arrepender
Se você me amava, por que me machucou?
Se me amava, cê foi me trair por quê?

Eu não vou negar que ainda te amo
Mas você merece o meu abandono
O que eu mais queria era ficar contigo
Mas você deixou meu coração partido
E agora nem pintada de ouro eu te quero
Eu não vou sentir pena de te ver sofrendo
Cê vai sentir a dor que eu tô sentido
E vai se arrepender de vacilar comigo

Eu não vou negar que ainda te amo
Mas você merece o meu abandono
O que eu mais queria era ficar contigo
Mas você deixou meu coração partido
E agora nem pintada de ouro eu te quero
Eu não vou sentir pena de te ver sofrendo
Cê vai sentir a dor que eu tô sentido
E vai se arrepender de vacilar comigo

Eu tentei ficar com você
Eu lutei, insisti, persisti, mas você só brincou
Sempre me levou na brincadeira e preferiu a vida de solteira
Vida de balada, vida de revoada
Agora vem se arrepender
Se você me amava, por que me machucou?
Se me amava, cê foi me trair por quê?

Eu não vou negar que ainda te amo
Mas você merece o meu abandono
O que eu mais queria era ficar contigo
Mas você deixou meu coração partido
E agora nem pintada de ouro eu te quero
Eu não vou sentir pena de te ver sofrendo
Cê vai sentir a dor que eu tô sentido
E vai se arrepender de vacilar comigo

Eu não vou negar que ainda te amo
Mas você merece o meu abandono
O que eu mais queria era ficar contigo
Mas você deixou meu coração partido
E agora nem pintada de ouro eu te quero
Eu não vou sentir pena de te ver sofrendo
Cê vai sentir a dor que eu tô sentido
E vai se arrepender de vacilar comigo

(Tiritas pa' este corazón partío')
(Tiritas pa' este corazón partío')
Ay mi corazón"
Usted Se Me Llevó La Vida,Alexandre Pires,/alexandre-pires/44037/,"Usted se me llevó la vida
Y el alma entera
Y se ha clavado aquí en mis huesos
El dolor con esta angustia y esta pena

Usted no sabe que se siente perder
No sabe que se siente caer y caer
En un abismo profundo y sin fe

Usted se me llevó la vida
Y aquí me tiene
Como una roca que el océano golpea
Que ahí está, pero no siente

Usted no sabe lo importante que fue
No sabe que su ausencia fue un trago de hiel
Que se ha quedado clavado en mi piel

Usted no sabe, lo que es el amor
Y el miedo que causa la desolación
Usted no sabe, que daño causó
Como ha destrozado a este corazón
Que tan solo palpitaba
Con el sonido de su voz
Con el sonido de su voz

Usted se me llevó la vida
Todas mis ganas
Y me ha dejado congelada la razón
Y viva la desesperanza

Usted no sabe que se siente perder
No sabe que su adiós fue morirme de sed
Que desgarró en este cuerpo su ser

Usted no sabe, lo que es el amor
Y el miedo que causa la desolación
Usted no sabe, que daño causó
Como ha destrozado a este corazón
Que tan solo palpitaba
Con el sonido de su voz
Con el sonido de su voz

Usted no sabe de verdad como se ama
Usted no sabe como he sufrido yo
Usted es fría
Y su maldad me hiela el alma
Usted llenó mi vida, toda de dolor

Usted no sabe, lo que es el amor
Y el miedo que causa la desolación
Usted no sabe, que daño causó
Como ha destrozado a este corazón"
Instinto,Gamadinho,/gamadinho/instinto/,"Nunca fui daqueles de pedir perdão
Meu orgulho leva embora minha razão
Sei o quanto o meu tropeço machucou
Num deslize, minha carne fraquejou

Eu nem sei direito de que jeito foi acontecer
E nem vou tentar te convencer
Nem que eu tentasse acharia uma explicação
Nada que eu fale vai curar sua decepção

Chuva de arroz, rosas no buquê
Deixa pra depois, pra quem merecer
Ah, como eu queria ser
O cara certo pra você

Um amor a dois não se vive a três
Mas foi como foi, o instinto fez
Meu corpo ser de outro alguém
Por um segundo, eu fui também

Vou levar a vida sem alguém
Que eu não vivo sem

Eu nem sei direito de que jeito foi acontecer
E nem vou tentar te convencer
Nem que eu tentasse acharia uma explicação
Nada que eu fale vai curar sua decepção

Chuva de arroz, rosas no buquê
Deixa pra depois, pra quem merecer
Ah, como eu queria ser
O cara certo pra você

Um amor a dois não se vive a três
Mas foi como foi, o instinto fez
Meu corpo ser de outro alguém
Por um segundo, eu fui também

Vou levar a vida sem alguém
Que eu não vivo sem

Chuva de arroz, rosas no buquê (não, não, não, não, não)
Deixa pra depois, pra quem merecer
Ah, como eu queria ser
O cara certo pra você

Um amor a dois não se vive a três
Mas foi como foi, o instinto fez
Meu corpo ser de outro alguém
Por um segundo, eu fui também

Vou levar a vida sem alguém
Que eu não vivo sem
Vou levar a vida sem alguém
Que eu não vivo sem
Que eu não vivo sem
Vivo sem"
Ou Dá Ou Desce,Boquinha da Garrafa,/boquinha-da-garrafa/44640/,"Ou dá ou desce, ou dá ou desce
Ou dá ou desce, ou dá, ou dá ou desce

Ia dar não deu, ia dar não deu
Pensou que me enganou
Ia dar não deu, ia dar não deu
Agora vai dar com dor

Você diz que é a rainha
Do reino de bagdá
Se o conde quer o conde dentro
Você também vai ter que dar, que dar, que dar

Dá, dá, dá, dá com dor
Você me prometeu que me dava o seu amor
Dá, dá, dá, dá com dor
Você me prometeu que dava o seu amor

Ou dá ou desce, ou dá ou desce
Ou dá ou desce, ou dá, ou dá ou desce
Ou dá ou desce, ou dá ou desce
Ou dá ou desce, ou dá, ou dá ou desce

Ia dar não deu, ia dar não deu
Pensou que me enganou
Ia dar não deu, ia dar não deu
Agora vai dar com dor

Você diz que é a rainha
Do reino de bagdá
Se o conde quer o conde dentro
Você também vai ter que dar, que dar, que dar

Dá, dá, dá, dá com dor
Você me prometeu que me dava o seu amor
Dá, dá, dá, dá com dor
Você me prometeu que dava o seu amor

Ou dá ou desce, ou dá ou desce
Ou dá ou desce, ou dá, ou dá ou desce
Ou dá ou desce, ou dá ou desce
Ou dá ou desce, ou dá, ou dá ou desce

Ia dar não deu, ia dar não deu
Pensou que me enganou
Ia dar não deu, ia dar não deu
Agora vai dar com dor

Você diz que é a rainha
Do reino de bagdá
Se o conde quer o conde dentro
Você também vai ter que dar, que dar, que dar

Dá, dá, dá, dá com dor
Você me prometeu que me dava o seu amor
Dá, dá, dá, dá com dor
Você me prometeu que dava o seu amor

Ou dá ou desce, ou dá ou desce
Ou dá ou desce, ou dá, ou dá ou desce
Ou dá ou desce, ou dá ou desce
Ou dá ou desce, ou dá, ou dá ou desce

Ou dá ou desce, ou dá ou desce
Ou dá ou desce, ou dá, ou dá ou desce
Ou dá ou desce, ou dá ou desce
Ou dá ou desce, ou dá, ou dá ou desce
Ou dá ou desce, ou dá ou desce
Ou dá ou desce, ou dá, ou dá ou desce"
